Geneid	HCT_NS_1	HCT_NS_2	HCT_NS_3	HCT_TNF_1	HCT_TNF_2	HCT_TNF_3	SCZ_NS_1	SCZ_NS_2	SCZ_NS_3	SCZ_TNF_1	SCZ_TNF_2	SCZ_TNF_3
ENSG00000227232.5	57	25	20	39	42	55	33	30	31	20	15	23
ENSG00000278267.1	15	20	8	18	13	30	7	11	6	23	7	12
ENSG00000238009.6	14	18	13	16	24	25	11	18	11	11	16	22
ENSG00000268903.1	10	15	8	9	21	20	6	18	16	23	8	20
ENSG00000269981.1	16	23	20	35	31	39	13	11	11	19	13	24
ENSG00000241860.7	13	0	2	8	2	22	0	6	1	8	4	3
ENSG00000279457.4	89	116	49	67	81	130	65	62	77	53	69	64
ENSG00000228463.10	21	8	2	20	11	31	7	10	8	10	7	10
ENSG00000237094.12	23	31	16	21	29	52	14	26	17	16	18	22
ENSG00000225630.1	2110	768	1772	1490	524	3902	416	1152	1586	798	829	2902
ENSG00000237973.1	161	84	92	162	62	264	32	90	120	88	110	166
ENSG00000229344.1	14	24	18	20	12	42	14	8	26	16	22	30
ENSG00000248527.1	7908	5555	6984	6827	4056	15853	2650	6118	6962	5532	12579	10594
ENSG00000228327.4	152	114	61	155	112	242	68	65	87	77	112	107
ENSG00000237491.10	66	78	43	80	34	55	26	49	32	50	31	34
ENSG00000230092.7	12	12	3	10	3	33	9	3	15	10	10	12
ENSG00000228794.11	366	370	273	351	328	669	203	286	291	284	310	350
ENSG00000225880.5	40	75	42	50	66	79	57	32	36	36	59	37
ENSG00000188976.11	1238	1404	878	1155	1647	2072	765	1048	789	1144	1198	981
ENSG00000187961.15	261	418	99	203	238	355	201	208	107	285	166	164
ENSG00000187583.11	54	107	63	76	89	100	68	86	22	79	102	52
ENSG00000188290.11	13	24	0	25	38	42	2	22	18	24	22	14
ENSG00000187608.10	702	1294	744	960	1862	2775	548	715	1028	835	1118	1040
ENSG00000188157.15	11578	15007	6974	9366	13344	18463	7617	9221	7906	9687	10264	8080
ENSG00000217801.11	78	87	62	62	60	132	33	57	58	68	105	61
ENSG00000131591.18	322	333	155	231	331	408	195	238	164	220	236	232
ENSG00000186891.14	16	48	36	64	70	142	18	46	30	59	134	69
ENSG00000186827.11	95	113	81	115	144	370	34	104	69	77	354	166
ENSG00000078808.19	4141	5168	3119	3739	5394	7422	2563	3553	2569	3703	4294	3304
ENSG00000176022.7	540	671	509	498	553	979	340	385	418	428	715	609
ENSG00000184163.3	2	8	4	4	8	11	3	10	4	3	22	5
ENSG00000160087.21	900	1082	682	840	993	1750	585	809	708	783	1179	797
ENSG00000230415.1	7	7	9	5	6	29	4	9	6	8	20	4
ENSG00000162572.21	36	63	55	41	43	105	20	49	34	29	43	41
ENSG00000131584.19	2251	2374	1054	1721	2378	2973	1274	1685	1180	1728	1973	1243
ENSG00000169972.12	241	341	207	221	332	447	169	188	164	215	302	198
ENSG00000127054.22	1124	1289	641	998	1167	1731	693	978	725	926	821	745
ENSG00000240731.1	26	21	13	34	29	47	13	37	36	30	36	2
ENSG00000224051.7	610	675	466	499	605	1049	362	500	399	507	680	546
ENSG00000169962.5	10	26	14	2	6	22	4	6	8	10	8	2
ENSG00000107404.21	815	1154	668	713	927	1324	594	688	564	709	768	705
ENSG00000175756.14	988	940	733	967	1234	1680	610	711	619	832	1184	812
ENSG00000221978.13	2045	2076	1372	1734	1847	3452	1109	1625	1369	1612	1869	1696
ENSG00000224870.8	216	278	154	223	252	406	116	198	142	210	270	186
ENSG00000242485.6	630	746	486	569	706	1234	304	496	501	549	903	619
ENSG00000272455.1	38	58	16	39	64	75	37	28	19	28	45	24
ENSG00000179403.12	14	12	24	20	44	34	14	18	10	14	8	30
ENSG00000160072.20	612	756	330	668	726	923	371	583	336	553	615	444
ENSG00000197785.14	456	565	325	473	630	752	356	403	265	469	460	319
ENSG00000160075.12	2172	2307	1926	1816	2085	4540	1255	1678	1808	1680	2642	2173
ENSG00000215014.5	39	57	31	18	22	76	35	35	43	34	35	53
ENSG00000228594.4	742	1030	660	670	836	1510	458	695	664	664	908	896
ENSG00000286989.1	72	79	53	59	70	131	58	52	57	52	55	70
ENSG00000272106.1	110	122	106	96	130	221	60	104	61	112	143	88
ENSG00000197530.13	827	1029	414	643	828	1032	528	694	520	755	779	543
ENSG00000248333.9	567	631	402	436	628	1064	283	460	400	466	406	500
ENSG00000189339.12	1372	1400	835	1173	1297	2128	843	1181	957	1017	1187	988
ENSG00000008128.23	94	81	48	49	69	143	36	45	48	57	76	31
ENSG00000268575.1	126	95	62	86	110	159	71	115	110	102	120	57
ENSG00000215790.8	130	131	66	111	134	235	100	142	72	88	111	86
ENSG00000008130.15	3668	4494	2192	3284	3812	6980	2170	3102	2912	3355	3254	3313
ENSG00000078369.18	9664	10450	8499	8306	8818	20238	5148	7841	8001	6994	9842	10332
ENSG00000231050.2	34	50	18	25	26	64	20	40	40	22	32	24
ENSG00000178821.13	2	10	16	2	6	18	0	8	4	8	22	14
ENSG00000067606.17	61	47	43	54	58	120	37	44	54	46	66	35
ENSG00000182873.5	13	8	4	0	8	24	7	8	2	6	2	10
ENSG00000162585.17	551	634	321	412	725	909	352	453	410	419	561	436
